timestamp,open,high,low,close,volume
2025-03-02 18:00:00,5967.5,5984.5,5964.25,5974.25,24096
2025-03-02 19:00:00,5974.5,5975.75,5947.0,5955.25,23919
2025-03-02 20:00:00,5955.25,5966.75,5951.5,5965.25,14393
2025-03-02 21:00:00,5965.25,5969.0,5959.75,5964.25,8750
2025-03-02 22:00:00,5964.25,5965.5,5957.5,5965.0,7737
2025-03-02 23:00:00,5964.75,5972.5,5964.25,5972.0,4654
2025-03-03 00:00:00,5972.0,5979.25,5970.75,5977.25,6219
2025-03-03 01:00:00,5977.25,5982.25,5971.75,5979.5,8987
2025-03-03 02:00:00,5979.5,5980.75,5964.75,5971.25,14134
2025-03-03 03:00:00,5971.0,5978.5,5955.75,5966.75,30615
2025-03-03 04:00:00,5967.0,5982.5,5962.25,5982.0,19610
2025-03-03 05:00:00,5982.0,5983.5,5974.75,5982.0,14024
2025-03-03 06:00:00,5982.0,5989.25,5980.75,5988.5,12164
2025-03-03 07:00:00,5988.25,6000.5,5986.25,5992.0,32772
2025-03-03 08:00:00,5991.75,5993.25,5980.25,5985.25,36612
2025-03-03 09:00:00,5985.25,5997.0,5947.75,5951.5,252914
2025-03-03 10:00:00,5951.5,5974.75,5930.5,5947.25,392177
2025-03-03 11:00:00,5947.25,5968.75,5934.5,5953.5,242535
2025-03-03 12:00:00,5953.5,5965.5,5937.25,5943.25,143718
2025-03-03 13:00:00,5943.25,5944.75,5897.75,5914.75,327652
2025-03-03 14:00:00,5914.5,5929.5,5882.5,5883.5,263023
2025-03-03 15:00:00,5883.75,5884.25,5821.75,5862.75,561124
2025-03-03 16:00:00,5863.0,5876.25,5861.0,5875.0,76550
2025-03-03 18:00:00,5874.0,5881.0,5867.5,5870.25,22396
2025-03-03 19:00:00,5870.25,5879.5,5861.5,5877.0,16749
2025-03-03 20:00:00,5877.25,5881.5,5859.5,5861.25,19439
2025-03-03 21:00:00,5861.75,5873.75,5859.75,5871.0,10614
2025-03-03 22:00:00,5871.0,5877.75,5867.0,5874.0,9467
2025-03-03 23:00:00,5873.75,5878.0,5868.5,5870.0,8801
2025-03-04 00:00:00,5870.25,5884.0,5859.25,5877.75,19877
2025-03-04 01:00:00,5877.75,5881.5,5869.0,5878.25,11093
2025-03-04 02:00:00,5878.25,5879.25,5860.0,5863.25,16437
2025-03-04 03:00:00,5863.0,5878.5,5856.5,5867.75,29011
